iter	Passed	Remaining
242	210117	654563
243	210948	653593
244	211766	652587
245	212590	651598
246	213399	650564
247	214223	649580
248	215088	648721
249	216025	648076
250	216833	647046
251	217638	646005
252	218460	645021
253	219279	644025
254	220147	643176
255	220983	642232
256	221828	641318
257	222664	640375
258	223473	639357
259	224295	638378
260	225118	637404
261	225927	636389
262	226725	635348
263	227542	634361
264	228347	633340
265	229166	632362
266	230046	631550
267	230854	630541
268	231673	629566
269	232486	628573
270	233307	627607
271	234138	626664
272	234954	625684
273	235777	624723
274	236574	623697
275	237395	622733
276	238224	621792
277	239055	620855
278	239870	619881
279	240747	619064
280	241563	618092
281	242386	617141
282	243196	616154
283	244014	615190
284	244855	614286
285	245684	613351
286	246486	612352
287	247300	611382
288	248102	610382
289	248926	609441
290	249745	608486
291	250555	607511
292	251426	606685
293	252243	605726
294	253069	604793
295	253931	603946
296	254733	602955
297	255532	601959
298	256343	600992
299	257145	600006
300	257962	599055
301	258799	598152
302	259721	597445
303	260603	596644
304	261438	595737
305	262317	594928
306	263194	594116
307	264020	593187
308	264841	592250
309	265656	591299
310	266471	590351
311	267274	589374
312	268078	588402
313	268891	587451
314	269721	586538
315	270533	585584
316	271345	584633
317	272169	583708
318	273032	582868
319	273854	581940
320	274669	580999
321	275486	580061
322	276325	579171
323	277147	578245
324	277960	577303
325	278778	576369
326	279594	575433
327	280406	574491
328	281217	573547
329	282040	572627
330	282879	571740
331	283798	571015
332	284629	570113
333	285476	569244
334	286351	568428
335	287180	567523
336	288004	566607
337	288835	565706
338	289675	564824
339	290493	563899
340	291298	562949
341	292099	561993
342	292969	561168
343	293795	560261
344	294600	559313
345	295432	558417
346	296238	557474
347	297047	556537
348	297870	555626
349	298681	554693
350	299491	553760
351	300319	552860
352	301207	552071
353	302161	551401
354	302990	550504
355	303804	549578
356	304705	548812
357	305522	547891
358	306335	546966
359	307134	546016
360	307955	545107
361	308764	544175
362	309579	543255
363	310385	542321
364	311211	541423
365	312018	540490
366	312833	539574
367	313675	538702
368	314764	538256
369	315669	537491
370	316499	536598
371	317307	535668
372	318605	535565
373	319972	535568
374	321350	535584
375	323738	537268
376	324978	537033
377	328105	539898
378	329626	540100
379	331493	540858
380	333123	541216
381	334483	541127
382	335712	540821
383	336685	540100
384	337639	539346
385	338578	538567
386	339540	537824
387	340498	537074
388	341473	536349
389	342451	535628
390	343399	534860
391	344362	534112
392	345332	533375
393	346298	532631
394	347287	531920
395	348358	531335
396	349314	530571
397	350419	530030
